serial num,sourcePort,systemName,managementAddress,portId
,port2,US-ABL-AP01,10.100.103.3,f4:2e:7f:c3:5e:52
Q2HY-GDBX-8G6N,,,,
,port4,,,ac:91:a1:10:44:cf
Q2HY-GDBX-8G6N,,,,
,wan1,Hydrochem_Stickney_Toledo_OH,12.220.136.201,bridge1/ether2
Q2HY-GG4Z-78BD,,,,
,port5,SacramentoAP01,10.100.107.3,f4:2e:7f:c3:50:92
Q2HY-GG4Z-78BD,,,,
,wan0,Hydrochem_Sacramento_CA_Fiber,152.44.154.198,bridge1/ether2
Q2HY-J469-RKW9,,,,
,port4,US-AWA-AP01,10.100.40.3,90:4c:81:ca:c4:66
Q2HY-J469-RKW9,,,,
,wan0,Hydrochem_Anacortes_WA_fixed_wireless,208.74.154.203,bridge1/ether2
Q2HY-JGGD-Y6HK,,,,
,wan0,Hydrochem_Mandan_ND,24.111.88.134,bridge1/ether2
Q2HY-JGGD-Y6HK,,,,
,port5,us-mma-swac0,10.100.105.2,1
Q2HY-KUP3-LLWP,,,,
,port3,,,ec:8e:b5:a4:86:af
Q2HY-KUP3-LLWP,,,,
,port2,,,ac:91:a1:11:ab:c8
Q2HY-LSE3-7E2A,,,,
,wan1,Hydrochem_Baytown,50.224.82.126,bridge1/ether3
Q2HY-LSE3-7E2A,,,,
,wan0,No Site Name,,169.254.1.1
Q2HY-LSE3-7E2A,,,,
,port5,switchbac84d,,gi1
Q2HY-MBL9-GEVR,,,,
,wan0,Hydrochem_Harrington_DE,96.68.241.61,bridge1/ether2
Q2HY-MBL9-GEVR,,,,
,port2,us-nyc-swac0,10.100.106.2,24
Q2HY-NM4V-Y6P5,,,,
,port5,US-BTX-AP02,10.100.54.4,b0:b8:67:c9:c3:40
Q2HY-NM4V-Y6P5,,,,
,wan0,MikroTik,192.168.35.254,bridge1/ether2
Q2HY-NM4V-Y6P5,,,,
,port3,,,10:e7:c6:b9:0d:16
Q2HY-SEM6-AMRQ,,,,
